,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1250,Mohamed Salah,16,1354,13,9.334594644606113,3,3.054335618391633,54,27,0,0,F S,Liverpool,8,5.528750509023666,10.893260605633259,4.528267228975892
1,453,Son Heung-Min,17,1459,12,6.886693108826876,5,3.7290671318769455,32,31,0,0,F M,Tottenham,12,6.886693108826876,10.253044679760933,2.839380905032158
2,647,Harry Kane,17,1525,11,10.44887749478221,11,4.925532251596451,64,25,1,0,F,Tottenham,8,8.165370892733335,11.628069256432354,2.3296361630782485
3,755,Jamie Vardy,16,1302,11,11.644102975726128,5,1.8460766673088074,38,15,1,0,F S,Leicester,5,6.315921135246754,7.859870932996273,0.8353041633963585
4,1228,Bruno Fernandes,17,1400,11,8.490097158588469,7,6.42489879578352,55,53,4,0,M S,Manchester United,6,3.9231209019199014,11.969672037288547,4.069092867895961
5,5555,Dominic Calvert-Lewin,16,1414,11,10.519729055464268,0,0.5689622573554516,45,8,3,0,F,Everton,11,10.519729055464268,10.932375241070986,2.6286318469792604
6,822,Patrick Bamford,17,1466,10,10.653532572090626,2,0.9561659432947636,65,8,1,0,F,Leeds,9,9.892363745719194,12.652487024664879,2.3301752004772425
7,468,Callum Wilson,15,1333,8,9.386278323829174,3,1.914141770452261,28,13,2,0,F,Newcastle United,4,6.341602943837643,8.618556134402752,0.43088068068027496
8,522,Wilfried Zaha,16,1433,8,6.093048132956028,2,2.49207266792655,37,16,3,0,F,Crystal Palace,6,4.570710472762585,8.476723745465279,2.0257819648832083
9,556,Marcus Rashford,17,1450,7,6.222261743620038,5,1.438175829127431,43,21,2,0,F M S,Manchester United,7,6.222261743620038,10.213083293288946,3.542697327211499
10,986,Danny Ings,13,1060,7,4.513337237760425,3,0.9957073926925659,27,11,1,0,F S,Southampton,5,2.9909995142370462,4.418353006243706,0.8569721225649118
11,3277,Alexandre Lacazette,15,946,7,6.370059620589018,0,0.7122595012187958,23,13,2,0,F M S,Arsenal,6,5.608890812844038,7.730287745594978,1.6767847705632448
12,702,Tammy Abraham,14,773,6,5.181962698698044,1,0.7214874606579542,27,9,0,0,F S,Chelsea,6,5.181962698698044,6.950738273561001,2.0556429252028465
13,838,Sadio Mané,16,1334,6,6.955452747642994,2,2.4139553736895323,48,23,2,0,F M S,Liverpool,6,6.955452747642994,11.697868183255196,3.4380235075950623
14,3621,Neal Maupay,16,1144,6,8.28407009691,1,1.0084594637155533,37,8,0,0,F M S,Brighton,3,5.239468339830637,7.723462134599686,2.1772020552307367
15,8865,Ollie Watkins,15,1350,6,9.086601056158543,2,2.0332620898261666,44,20,1,0,F,Aston Villa,5,7.564263425767422,10.73963438719511,3.1802491825073957
16,482,Roberto Firmino,17,1422,5,6.4681635200977325,3,2.1221131533384323,38,17,1,0,F M,Liverpool,5,6.4681635200977325,11.59315026178956,4.753625812008977
17,675,Jack Grealish,15,1350,5,4.161457400768995,7,7.208462178707123,40,55,3,0,F M,Aston Villa,5,4.161457400768995,12.785905435681343,4.679981365799904
18,5612,Anwar El Ghazi,9,482,5,4.594317369163036,0,0.8655061069875956,27,10,1,0,M S,Aston Villa,3,3.071979694068432,3.592623585835099,1.0368400178849697
19,6681,Harvey Barnes,16,1192,5,3.782399084419012,1,0.31538879685103893,35,8,0,0,F M S,Leicester,5,3.782399084419012,3.8432829529047012,0.48665702529251575
20,6854,Diogo Jota,9,496,5,2.630428396165371,0,1.435285059735179,20,6,0,0,F M S,Liverpool,5,2.630428396165371,5.118065886199474,1.647420197725296
21,8288,Tomas Soucek,17,1530,5,4.829779606312513,0,0.385754881426692,31,6,1,0,M,West Ham,5,4.829779606312513,6.001339226961136,2.8516539856791496
22,65,Timo Werner,17,1366,4,6.803854612633586,4,2.8399206725880504,40,14,0,0,F M S,Chelsea,4,6.803854612633586,9.799165710806847,2.5595762254670262
23,618,Raheem Sterling,15,1187,4,4.987936593592167,3,3.3501309528946877,30,18,1,0,F M S,Manchester City,4,4.226767737418413,12.304702442139387,7.732957258820534
24,750,Riyad Mahrez,12,840,4,3.4943766044452786,1,3.0833536572754383,26,27,0,0,F M S,Manchester City,4,3.4943766044452786,9.016456231474876,3.6187421828508377
25,843,James Ward-Prowse,17,1530,4,1.0902451276779175,4,1.7223542742431164,16,27,3,0,M,Southampton,4,1.0902451276779175,4.224233761429787,3.502543319016695
26,935,Kurt Zouma,15,1350,4,1.5022862236946821,0,0.06188124231994152,14,3,1,0,D,Chelsea,4,1.5022862236946821,2.5466493675485253,2.5353786954656243
27,1776,Jarrod Bowen,17,1318,4,3.656810738146305,2,1.867707647383213,34,15,0,0,F M S,West Ham,4,3.656810738146305,6.8182308077812195,2.329104669392109
28,4105,Raúl Jiménez,10,824,4,2.3609096854925156,0,0.6329625025391579,26,6,0,0,F,Wolverhampton Wanderers,4,2.3609096854925156,3.6840762607753277,1.2332111839205027
29,5956,Youri Tielemans,17,1472,4,2.797182190231979,0,0.1790135782212019,23,6,4,0,M S,Leicester,2,1.2748445747420192,4.879923306405544,3.889665048569441
30,6055,Phil Foden,12,672,4,2.712754398584366,2,1.7074826546013355,19,12,0,0,F M S,Manchester City,4,2.712754398584366,6.31595791503787,2.3389493338763714
31,6382,Pedro Neto,18,1460,4,2.7806642055511475,3,2.8712542448192835,34,32,0,0,F M S,Wolverhampton Wanderers,4,2.7806642055511475,6.862053617835045,2.612366084009409
